title,author

To Kill a Mockingbird,Harper Lee

Fahrenheit 451,Ray Bradbury

1984,George Orwell

Romeo and Juliet,William Shakespeare

The Catcher in the Rye,J.D. Salinger

The Diary of a Young Girl,Anne Frank

The Adventures of Huckleberry Finn,Mark Twain

The Book Thief,Markus Zusak

"Night  (The Night Trilogy, #1)",Elie Wiesel

The Help,Kathryn Stockett

Of Mice and Men,John Steinbeck

Looking for Alaska,John Green

Speak,Laurie Halse Anderson

The Perks of Being a Wallflower,Stephen Chbosky

The Great Gatsby,F. Scott Fitzgerald

Lord of the Flies,William Golding

The Outsiders,S.E. Hinton

A Tale of Two Cities,Charles Dickens

The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom

Hamlet,William Shakespeare

Macbeth,William Shakespeare

All Quiet on the Western Front,Erich Maria Remarque

The Grapes of Wrath,John Steinbeck

The Absolutely True Diary of a Part-Time Indian,Sherman Alexie

Frankenstein,Mary Wollstonecraft Shelley

Anthem,Ayn Rand

Wuthering Heights,Emily Brontë

The Scarlet Letter,Nathaniel Hawthorne

"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien

Gone with the Wind,Margaret Mitchell

Life of Pi,Yann Martel

"Catch-22 (Catch-22, #1)",Joseph Heller

A Separate Peace,John Knowles

East of Eden,John Steinbeck

Oliver Twist,Charles Dickens

"Witch Born (Witch Song, #2)",Amber Argyle

The Pilgrim's Progress,John Bunyan

The Metamorphosis,Franz Kafka

Tuesdays with Morrie,Mitch Albom

The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson

A Brief History of Time,Stephen Hawking

Jane Eyre,Charlotte Brontë

Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen

Julius Caesar,William Shakespeare

"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams

The Gettysburg Address,Abraham Lincoln

Pride and Prejudice,Jane Austen

Up from Slavery,Booker T. Washington

Dead Poets Society,N.H. Kleinbaum

Crime and Punishment,Fyodor Dostoyevsky

Invisible Man,Ralph Ellison

Travels with Charley: In Search of America,John Steinbeck

The Pearl,John Steinbeck

Death of a Salesman,Arthur  Miller

"I, Robot (Robot, #0.1)",Isaac Asimov

The Picture of Dorian Gray,Oscar Wilde

As I Lay Dying,William Faulkner

Mere Christianity,C.S. Lewis

The Story of My Life,Helen Keller

Test Anxiety Cure: Scientifically Proven Ways to Succeed and Score High in All Exams,Marie Cheour

An Inspector Calls,J.B. Priestley

"The Edge of Everything (Haven, #3)",Kaitlyn Oruska

"Carter Reed (Carter Reed, #1)",Tijan

"Rules of Entanglement (Fighting for Love, #2)",Gina L. Maxwell

I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai

Their Eyes Were Watching God,Zora Neale Hurston

Stuart Little,E.B. White

Native Son,Richard Wright

Passing,Nella Larsen

Thirteen Reasons Why,Jay Asher

The Alchemist,Paulo Coelho

Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley

Willow,Julia Hoban

"Ready Player One (Ready Player One, #1)",Ernest Cline

Cat's Cradle,Kurt Vonnegut Jr.

"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Bryan Lee O'Malley

"The Giver (The Giver, #1)",Lois Lowry

Salvation on Sand Mountain: Snake-Handling and Redemption in Southern Appalachia,Dennis Covington

Ragtime,E.L. Doctorow

The Tempest,William Shakespeare

The Princess Bride,William Goldman

"The Golden Compass (His Dark Materials, #1)",Philip Pullman

Uncle Tom's Cabin,Harriet Beecher Stowe

The Autobiography of Miss Jane Pittman,Ernest J. Gaines

"The Hobbit, or There and Back Again",J.R.R. Tolkien

"Ender's Game (Ender's Saga, #1)",Orson Scott Card

"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams

One Flew Over the Cuckoo's Nest,Ken Kesey

The Sound and the Fury,William Faulkner

Treasure Island,Robert Louis Stevenson

"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery

"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl

Long Walk to Freedom,Nelson Mandela

Matilda,Roald Dahl

"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum

The First American: The Life and Times of Benjamin Franklin,H.W. Brands

Gulliver's Travels,Jonathan Swift

Old Yeller,Fred Gipson

In Cold Blood,Truman Capote

The Count of Monte Cristo,Alexandre Dumas

